"date","city_wide_daily_average","trap_days","trap","number","region","region_name"
2015-06-05,9,1,"north_east_6",7,"NE","NE6"
2015-06-05,9,1,"north_east_7",1,"NE","NE7"
2015-06-05,9,1,"south_east_1",5,"SE","SE1"
2015-06-05,9,1,"south_east_2",24,"SE","SE2"
2015-06-05,9,1,"south_east_3",7,"SE","SE3"
2015-06-05,9,1,"south_east_4",16,"SE","SE4"
2015-06-05,9,1,"south_east_5",5,"SE","SE5"
2015-06-05,9,1,"south_east_6",0,"SE","SE6"
2015-06-05,9,1,"south_east_7",23,"SE","SE7"
2015-06-05,9,1,"south_west_1",5,"SW","SW1"
2015-06-05,9,1,"south_west_2",5,"SW","SW2"
2015-06-05,9,1,"south_west_3",7,"SW","SW3"
2015-06-05,9,1,"south_west_4",20,"SW","SW4"
2015-06-05,9,1,"south_west_5",2,"SW","SW5"
2015-06-05,9,1,"south_west_6",31,"SW","SW6"
2015-06-05,9,1,"south_west_7",0,"SW","SW7"
2015-06-08,40,3,"north_west_1",69,"NW","NW1"
2015-06-08,40,3,"north_west_2",93,"NW","NW2"
2015-06-08,40,3,"north_west_3",43,"NW","NW3"
2015-06-08,40,3,"north_west_4",22,"NW","NW4"
2015-06-08,40,3,"north_west_5",36,"NW","NW5"
2015-06-08,40,3,"north_west_6",5,"NW","NW6"
2015-06-08,40,3,"north_west_7",15,"NW","NW7"
2015-06-08,40,3,"north_east_1",37,"NE","NE1"
2015-06-08,40,3,"north_east_2",14,"NE","NE2"
2015-06-08,40,3,"north_east_3",22,"NE","NE3"
2015-06-08,40,3,"north_east_4",8,"NE","NE4"
2015-06-08,40,3,"north_east_5",23,"NE","NE5"
2015-06-08,40,3,"north_east_6",13,"NE","NE6"
2015-06-08,40,3,"north_east_7",8,"NE","NE7"
2015-06-08,40,3,"south_east_1",22,"SE","SE1"
2015-06-08,40,3,"south_east_2",40,"SE","SE2"
2015-06-08,40,3,"south_east_3",23,"SE","SE3"
2015-06-08,40,3,"south_east_4",53,"SE","SE4"
2015-06-08,40,3,"south_east_5",33,"SE","SE5"
2015-06-08,40,3,"south_east_6",5,"SE","SE6"
2015-06-08,40,3,"south_east_7",46,"SE","SE7"
2015-06-08,40,3,"south_west_1",37,"SW","SW1"
2015-06-08,40,3,"south_west_2",40,"SW","SW2"
2015-06-08,40,3,"south_west_3",47,"SW","SW3"
2015-06-08,40,3,"south_west_4",131,"SW","SW4"
2015-06-08,40,3,"south_west_5",8,"SW","SW5"
2015-06-08,40,3,"south_west_6",232,"SW","SW6"
2015-06-08,40,3,"south_west_7",4,"SW","SW7"
